City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,dudinka,69.4058,86.1778,-24.62,98,100,6.26,RU,1702343255
116,velizh,55.6056,31.1967,-1.12,96,100,4.59,RU,1702343529
117,margaret river,-33.95,115.0667,24.41,46,0,1.95,AU,1702343529
118,miles city,46.4083,-105.8406,-1.46,69,75,2.57,US,1702343530
119,kone,-21.0595,164.8658,30.9,42,60,3.12,NC,1702343530
120,peace river,56.2501,-117.286,-5.1,54,100,3.08,CA,1702343530
121,fisterra,42.9049,-9.2629,15.57,95,100,7.95,ES,1702343531
122,hawaiian paradise park,19.5933,-154.9731,26.13,87,100,1.54,US,1702343531
123,pachino,36.7186,15.0907,16.22,85,8,8.73,IT,1702343532
124,vorkuta,67.5,64.0,-16.8,90,100,6.54,RU,1702343533
125,tralee,52.2704,-9.7026,9.4,87,100,4.9,IE,1702343088
126,port mathurin,-19.6833,63.4167,25.8,77,6,3.97,MU,1702343062
127,kingaroy,-26.5333,151.8333,28.81,36,11,4.6,AU,1702343535
128,vadso,70.0744,29.7487,-9.91,79,40,4.63,NO,1702343535
129,badger,64.8,-147.5333,-6.07,82,100,3.6,US,1702343536
130,springbok,-29.6643,17.8865,13.77,36,0,2.45,ZA,1702343097
131,kataba,13.9833,44.3833,11.61,59,100,0.92,YE,1702343538
132,albacete,38.8333,-2.0,11.21,100,0,0.0,ES,1702343538
133,tangalle,6.024,80.7911,24.09,90,100,1.55,LK,1702343241
134,kurumkan,54.3,110.3,-26.6,90,26,1.79,RU,1702343540
135,yaren,-0.5472,166.916,29.12,75,23,5.3,NR,1702343540
136,santa elena de uairen,4.6167,-61.1333,23.87,63,100,1.59,VE,1702343252
137,sitka,57.0531,-135.33,6.94,76,100,7.72,US,1702343059
138,castillos,-34.1667,-53.8333,17.97,93,100,4.45,UY,1702343541
139,bucak,37.4592,30.595,6.29,84,67,1.32,TR,1702343545
140,murun-kuren,49.6342,100.1625,-21.82,93,100,0.24,MN,1702343546
141,st. john's,47.5649,-52.7093,12.31,92,100,3.13,CA,1702343546
142,colonia,50.9333,6.95,8.92,82,75,2.06,DE,1702343302
143,udachny,66.4167,112.4,-25.02,97,100,4.08,RU,1702343547
144,suomussalmi,64.8869,28.9078,-19.04,99,99,1.7,FI,1702343548
145,mount pearl,47.5166,-52.7813,11.85,93,100,4.47,CA,1702343551
146,tiksi,71.6872,128.8694,-21.58,100,100,3.69,RU,1702343552
